2026-04-02 10:41:25 status unpacked libfwupd2:amd64 1.9.33-0ubuntu1~24.04.1ubuntu1
2026-04-02 10:41:25 status half-installed libfwupd2:amd64 1.9.33-0ubuntu1~24.04.1ubuntu1
2026-04-02 10:41:25 status unpacked libfwupd2:amd64 1.9.34-0ubuntu1~24.04.1
2026-04-02 10:41:26 upgrade fwupd:amd64 1.9.33-0ubuntu1~24.04.1ubuntu1 1.9.34-0ubuntu1~24.04.1
2026-04-02 10:41:26 status half-configured fwupd:amd64 1.9.33-0ubuntu1~24.04.1ubuntu1
2026-04-02 10:41:26 status unpacked fwupd:amd64 1.9.33-0ubuntu1~24.04.1ubuntu1
2026-04-02 10:41:26 status half-installed fwupd:amd64 1.9.33-0ubuntu1~24.04.1ubuntu1
2026-04-02 10:41:26 status triggers-pending dbus:amd64 1.14.10-4ubuntu4.1
2026-04-02 10:41:26 status triggers-pending hicolor-icon-theme:all 0.17-2
2026-04-02 10:41:26 status unpacked fwupd:amd64 1.9.34-0ubuntu1~24.04.1
2026-04-02 10:41:26 startup packages configure
2026-04-02 10:41:26 configure libfwupd2:amd64 1.9.34-0ubuntu1~24.04.1 <none>
2026-04-02 10:41:26 status unpacked libfwupd2:amd64 1.9.34-0ubuntu1~24.04.1
2026-04-02 10:41:26 status half-configured libfwupd2:amd64 1.9.34-0ubuntu1~24.04.1
2026-04-02 10:41:26 status installed libfwupd2:amd64 1.9.34-0ubuntu1~24.04.1
2026-04-02 10:41:26 configure lshw:amd64 02.19.git.2021.06.19.996aaad9c7-2ubuntu0.24.04.1 <none>
2026-04-02 10:41:26 status unpacked lshw:amd64 02.19.git.2021.06.19.996aaad9c7-2ubuntu0.24.04.1
2026-04-02 10:41:26 status half-configured lshw:amd64 02.19.git.2021.06.19.996aaad9c7-2ubuntu0.24.04.1
2026-04-02 10:41:26 status installed lshw:amd64 02.19.git.2021.06.19.996aaad9c7-2ubuntu0.24.04.1
2026-04-02 10:41:26 configure fwupd:amd64 1.9.34-0ubuntu1~24.04.1 <none>
2026-04-02 10:41:26 status unpacked fwupd:amd64 1.9.34-0ubuntu1~24.04.1
2026-04-02 10:41:26 status half-configured fwupd:amd64 1.9.34-0ubuntu1~24.04.1
2026-04-02 10:41:26 status installed fwupd:amd64 1.9.34-0ubuntu1~24.04.1
2026-04-02 10:41:26 trigproc libc-bin:amd64 2.39-0ubuntu8.7 <none>
2026-04-02 10:41:26 status half-configured libc-bin:amd64 2.39-0ubuntu8.7
2026-04-02 10:41:27 status installed libc-bin:amd64 2.39-0ubuntu8.7
2026-04-02 10:41:27 trigproc man-db:amd64 2.12.0-4build2 <none>
2026-04-02 10:41:27 status half-configured man-db:amd64 2.12.0-4build2
2026-04-02 10:41:28 status installed man-db:amd64 2.12.0-4build2
2026-04-02 10:41:28 trigproc dbus:amd64 1.14.10-4ubuntu4.1 <none>
2026-04-02 10:41:28 status half-configured dbus:amd64 1.14.10-4ubuntu4.1
2026-04-02 10:41:28 status installed dbus:amd64 1.14.10-4ubuntu4.1
2026-04-02 10:41:28 trigproc hicolor-icon-theme:all 0.17-2 <none>
2026-04-02 10:41:28 status half-configured hicolor-icon-theme:all 0.17-2
2026-04-02 10:41:28 status installed hicolor-icon-theme:all 0.17-2
2026-04-02 20:26:21 startup archives unpack
2026-04-02 20:26:22 upgrade libarchive-dev:amd64 3.7.2-2ubuntu0.5 3.7.2-2ubuntu0.6
2026-04-02 20:26:22 status half-configured libarchive-dev:amd64 3.7.2-2ubuntu0.5
2026-04-02 20:26:22 status unpacked libarchive-dev:amd64 3.7.2-2ubuntu0.5
2026-04-02 20:26:22 status half-installed libarchive-dev:amd64 3.7.2-2ubuntu0.5
2026-04-02 20:26:22 status triggers-pending man-db:amd64 2.12.0-4build2
2026-04-02 20:26:22 status unpacked libarchive-dev:amd64 3.7.2-2ubuntu0.6
2026-04-02 20:26:22 upgrade libarchive13t64:amd64 3.7.2-2ubuntu0.5 3.7.2-2ubuntu0.6
2026-04-02 20:26:22 status triggers-pending libc-bin:amd64 2.39-0ubuntu8.7
